time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230606,dlunitedmining.com,1,1897,957,0,0,0,816,1,
20230607,dlunitedmining.com,1,18,13,0,0,0,10,2,
20230608,dlunitedmining.com,1,12,7,0,0,0,8,2,
20230609,dlunitedmining.com,1,3865,1944,0,0,0,1602,3,
20230610,dlunitedmining.com,1,43,29,0,0,0,13,3,
20230601,dafuzhijia.com.cn,1,7,6,0,1,0,2,2,
20230602,dafuzhijia.com.cn,1,4,0,1,2,0,4,2,
20230603,dafuzhijia.com.cn,1,1,0,0,1,0,1,1,
20230604,dafuzhijia.com.cn,0,0,0,0,0,0,0,0,
20230605,dafuzhijia.com.cn,1,6,2,3,1,0,2,1,
20230606,dafuzhijia.com.cn,0,0,0,0,0,0,0,0,
20230607,dafuzhijia.com.cn,1,1,0,0,1,0,1,1,
20230608,dafuzhijia.com.cn,0,0,0,0,0,0,0,0,
20230609,dafuzhijia.com.cn,1,2,0,0,2,0,2,1,
20230610,dafuzhijia.com.cn,1,2,0,0,2,0,2,1,
20230601,hanshangz.com,1,17,15,0,0,0,9,2,
20230602,hanshangz.com,1,1868,943,0,2,0,809,2,
20230603,hanshangz.com,1,751,4,0,744,0,478,2,
20230604,hanshangz.com,1,3100,936,0,1237,0,1633,2,
20230605,hanshangz.com,1,1156,13,0,1131,0,735,2,
20230606,hanshangz.com,1,2898,6,0,2886,0,1838,2,
20230607,hanshangz.com,1,2275,938,0,1325,0,1090,3,
20230608,hanshangz.com,1,2850,1414,0,1331,0,1279,3,
20230609,hanshangz.com,1,2870,1441,0,1420,0,1268,3,
20230610,hanshangz.com,1,2073,1028,0,1036,0,896,3,
20230601,pangaofeng.top,1,5,4,0,0,0,4,4,
20230602,pangaofeng.top,1,2,1,0,0,0,2,1,
20230603,pangaofeng.top,1,3,2,0,0,0,2,2,
20230604,pangaofeng.top,1,10,6,0,0,0,4,5,
20230605,pangaofeng.top,0,0,0,0,0,0,0,0,
20230606,pangaofeng.top,1,4,2,0,0,0,3,3,
20230607,pangaofeng.top,1,4,2,0,0,0,3,3,
20230608,pangaofeng.top,1,3,2,0,0,0,2,2,
20230609,pangaofeng.top,1,14,13,0,0,0,5,4,
20230610,pangaofeng.top,1,6,3,0,0,0,4,3,
20230601,ssjr66.cn,0,8,4,0,0,0,4,1,
20230602,ssjr66.cn,0,0,0,0,0,0,0,0,
20230603,ssjr66.cn,1,4,0,1,0,0,2,1,
20230604,ssjr66.cn,0,0,0,0,0,0,0,0,
20230605,ssjr66.cn,1,1,0,0,0,0,1,1,
20230606,ssjr66.cn,1,4,2,0,0,0,3,1,
20230607,ssjr66.cn,0,0,0,0,0,0,0,0,
20230608,ssjr66.cn,1,14,11,3,0,0,13,2,
20230609,ssjr66.cn,0,0,0,0,0,0,0,0,
20230610,ssjr66.cn,1,2,1,0,0,0,1,1,
20230601,atauscn.cn,1,7,3,1,1,0,3,3,
20230602,atauscn.cn,1,15,1,0,14,0,6,1,
20230603,atauscn.cn,0,2,2,0,0,0,1,2,
20230604,atauscn.cn,1,5,4,0,0,0,3,3,
20230605,atauscn.cn,1,4,2,0,0,0,1,1,
20230606,atauscn.cn,0,2,2,0,0,0,1,1,
20230607,atauscn.cn,0,3,2,0,1,0,1,3,
20230608,atauscn.cn,1,1,1,0,0,0,1,1,
20230609,atauscn.cn,1,4,2,0,2,0,3,2,
20230610,atauscn.cn,1,4,2,0,0,0,2,2,
20230601,szwekq.com,1,6,1,0,0,0,5,3,
20230602,szwekq.com,1,4,0,0,0,0,4,1,
20230603,szwekq.com,1,6,0,0,0,0,4,1,
20230604,szwekq.com,1,1891,947,0,0,0,807,3,
20230605,szwekq.com,1,5,0,0,0,0,4,1,
20230606,szwekq.com,0,0,0,0,0,0,0,0,
20230607,szwekq.com,1,6,1,0,0,0,5,2,
20230608,szwekq.com,1,4,0,0,0,0,4,1,
20230609,szwekq.com,1,7,0,0,0,0,5,1,
20230610,szwekq.com,1,9,2,0,0,0,7,2,
20230601,mczj.com.cn,1,117,86,0,0,0,75,3,
20230602,mczj.com.cn,1,119,90,0,0,0,84,3,
20230603,mczj.com.cn,1,115,84,1,0,0,86,2,
20230604,mczj.com.cn,1,114,93,1,0,0,88,2,
20230605,mczj.com.cn,1,76,64,0,0,0,50,2,
20230606,mczj.com.cn,1,86,62,0,0,0,63,3,
20230607,mczj.com.cn,1,100,75,0,0,0,70,2,
20230608,mczj.com.cn,1,126,89,2,0,0,76,2,
20230609,mczj.com.cn,1,115,81,1,0,0,72,2,
20230610,mczj.com.cn,1,100,67,1,0,0,71,2,
20230601,xn--1rwm9b515f.cn,1,1,1,0,0,0,1,1,
20230602,xn--1rwm9b515f.cn,0,0,0,0,0,0,0,0,
20230603,xn--1rwm9b515f.cn,1,1,1,0,0,0,1,1,
20230604,xn--1rwm9b515f.cn,0,0,0,0,0,0,0,0,
20230605,xn--1rwm9b515f.cn,1,6,2,0,0,0,1,2,
20230606,xn--1rwm9b515f.cn,1,7,3,0,0,0,1,2,
20230607,xn--1rwm9b515f.cn,1,6,2,0,0,0,1,2,
20230608,xn--1rwm9b515f.cn,1,8,4,0,0,0,1,2,
20230609,xn--1rwm9b515f.cn,1,6,2,0,0,0,1,2,
20230610,xn--1rwm9b515f.cn,1,6,2,0,0,0,1,2,
20230601,xn--pbt333iujj.cn,1,1,1,0,0,0,1,1,
20230602,xn--pbt333iujj.cn,0,0,0,0,0,0,0,0,
20230603,xn--pbt333iujj.cn,0,0,0,0,0,0,0,0,
20230604,xn--pbt333iujj.cn,0,0,0,0,0,0,0,0,
20230605,xn--pbt333iujj.cn,1,1,1,0,0,0,1,1,
20230606,xn--pbt333iujj.cn,0,0,0,0,0,0,0,0,
20230607,xn--pbt333iujj.cn,0,0,0,0,0,0,0,0,
20230608,xn--pbt333iujj.cn,1,1,0,0,0,0,1,1,
20230609,xn--pbt333iujj.cn,1,1,1,0,0,0,1,1,
20230610,xn--pbt333iujj.cn,1,1,1,0,0,0,1,1,
20230601,haechi.top,1,9,4,0,4,0,3,4,
20230602,haechi.top,1,16,0,1,14,0,10,3,
20230603,haechi.top,1,9,4,0,5,0,3,3,
